Age (groups),Attrition,BusinessTravel,Department,Sum of DistanceFromHome (KM),Sum of Actual years at company,Sum of Age,EducationField,EducationLevelID,EmployeeID,Ethnicity,FirstName,Gender,Year,Quarter,Month,Day,JobRole,LastName,MaritalStatus,OverTime,Sum of Salary,Salary (grouping),State,Sum of StockOptionLevel,Sum of YearsAtCompany,Sum of YearsInMostRecentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager,DistanceFromHome (KM) (bins)
18 to 29,No,Frequent Traveller,Human Resources,24,1.65,19,Economics,3,B0C8-E3DF,White,Eleanor,Female,2021,Qtr 2,May,6,Recruiter,Escalero,Married,No,25838,A- 20K to 70K,IL,1,1,0,0,0,23
18 to 29,No,Frequent Traveller,Human Resources,34,2.26,23,Human Resources,4,55A7-8D82,White,Allyn,Non-Binary,2020,Qtr 3,September,26,HR Executive,Glyde,Married,No,75948,B- 70K to 150K,NY,0,2,0,0,2,34
18 to 29,No,Frequent Traveller,Human Resources,17,0.99,24,Human Resources,5,BEBB-3E92,White,Flinn,Male,2022,Qtr 1,January,4,HR Executive,Redferne,Single,Yes,93008,B- 70K to 150K,CA,0,0,0,0,0,12
18 to 29,No,Frequent Traveller,Human Resources,42,3.39,21,Other,4,0CFA-28A3,Black or African American,Duff,Male,2019,Qtr 3,August,13,HR Executive,Rioch,Married,Yes,42303,A- 20K to 70K,CA,1,3,2,2,2,34
18 to 29,No,Frequent Traveller,Sales,29,5.3,24,Economics,1,90EB-28D4,Black or African American,Veronique,Female,2017,Qtr 3,September,12,Sales Representative,Tremelling,Single,No,26608,A- 20K to 70K,CA,0,5,0,3,1,23
18 to 29,No,Frequent Traveller,Sales,38,0.17,18,Economics,1,C472-DAAD,Black or African American,Raf,Non-Binary,2022,Qtr 4,October,29,Sales Executive,Laraway,Single,Yes,59962,A- 20K to 70K,IL,2,0,0,0,0,34
18 to 29,No,Frequent Traveller,Sales,13,1.12,19,Economics,2,3F9D-8094,White,Denys,Male,2021,Qtr 4,November,16,Sales Executive,Ponten,Single,No,65960,A- 20K to 70K,CA,3,1,0,1,0,12
18 to 29,No,Frequent Traveller,Sales,21,6.46,27,Economics,3,C8BC-3B77,White,Anna-diane,Female,2016,Qtr 3,July,18,Sales Executive,Allpress,Married,No,66488,A- 20K to 70K,NY,1,6,5,6,3,12
18 to 29,No,Frequent Traveller,Sales,11,1.25,22,Economics,3,C9F5-9B2C,White,Duane,Male,2021,Qtr 3,September,30,Sales Representative,Colhoun,Married,No,34432,A- 20K to 70K,CA,2,1,0,0,1,1
18 to 29,No,Frequent Traveller,Sales,26,0.53,18,Economics,3,F245-F338,White,Jamie,Female,2022,Qtr 2,June,21,Sales Executive,Lavery,Single,No,62054,A- 20K to 70K,CA,2,0,0,0,0,23
